Zip Code,City,County,State
98001,Auburn,King,WA
98002,Auburn,King,WA
98003,Federal Way,King,WA
98004,Bellevue,King,WA
98005,Bellevue,King,WA
98006,Bellevue,King,WA
98007,Bellevue,King,WA
98008,Bellevue,King,WA
98009,Bellevue,King,WA
98010,Black Diamond,King,WA
98011,Bothell,King,WA
98012,Bothell,Snohomish,WA
98013,Burton,King,WA
98014,Carnation,King,WA
98015,Bellevue,King,WA
98019,Duvall,King,WA
98020,Edmonds,Snohomish,WA
98021,Bothell,Snohomish,WA
98022,Enumclaw,King,WA
98023,Federal Way,King,WA
98024,Fall City,King,WA
98025,Hobart,King,WA
98026,Edmonds,Snohomish,WA
98027,Issaquah,King,WA
98028,Kenmore,King,WA
98029,Issaquah,King,WA
98030,Kent,King,WA
98031,Kent,King,WA
98032,Kent,King,WA
98033,Kirkland,King,WA
98034,Kirkland,King,WA
98035,Kent,King,WA
98036,Lynnwood,Snohomish,WA
98037,Lynnwood,Snohomish,WA
98038,Maple Valley,King,WA
98039,Medina,King,WA
98040,Mercer Island,King,WA
98041,Bothell,King,WA
98042,Kent,King,WA
98043,Mountlake Terrace,Snohomish,WA
98045,North Bend,King,WA
98046,Lynnwood,Snohomish,WA
98047,Pacific,King,WA
98050,Preston,King,WA
98051,Ravensdale,King,WA
98052,Redmond,King,WA
98053,Redmond,King,WA
98054,Redondo,King,WA
98055,Renton,King,WA
98056,Renton,King,WA
98057,Renton,King,WA
98058,Renton,King,WA
98059,Renton,King,WA
98061,Rollingbay,Kitsap,WA
98062,Seahurst,King,WA
98063,Federal Way,King,WA
98064,Kent,King,WA
98065,Snoqualmie,King,WA
98068,Snoqualmie Pass,Kittitas,WA
98070,Vashon,King,WA
98071,Auburn,King,WA
98072,Woodinville,King,WA
98073,Redmond,King,WA
98074,Sammamish,King,WA
98075,Sammamish,King,WA
98077,Woodinville,King,WA
98082,Mill Creek,Snohomish,WA
98083,Kirkland,King,WA
98087,Lynnwood,Snohomish,WA
98089,Kent,King,WA
98092,Auburn,King,WA
98093,Federal Way,King,WA
98101,Seattle,King,WA
98102,Seattle,King,WA
98103,Seattle,King,WA
98104,Seattle,King,WA
98105,Seattle,King,WA
98106,Seattle,King,WA
98107,Seattle,King,WA
98108,Seattle,King,WA
98109,Seattle,King,WA
98110,Bainbridge Island,Kitsap,WA
98111,Seattle,King,WA
98112,Seattle,King,WA
98113,Seattle,King,WA
98114,Seattle,King,WA
98115,Seattle,King,WA
98116,Seattle,King,WA
98117,Seattle,King,WA
98118,Seattle,King,WA
98119,Seattle,King,WA
98121,Seattle,King,WA
98122,Seattle,King,WA
98124,Seattle,King,WA
98125,Seattle,King,WA
98126,Seattle,King,WA
98127,Seattle,King,WA
98129,Seattle,King,WA
98131,Seattle,King,WA
98132,Seattle,King,WA
98133,Seattle,King,WA
98134,Seattle,King,WA
98136,Seattle,King,WA
98138,Seattle,King,WA
98139,Seattle,King,WA
98141,Seattle,King,WA
98144,Seattle,King,WA
98145,Seattle,King,WA
98146,Seattle,King,WA
98148,Seattle,King,WA
98151,Seattle,King,WA
98154,Seattle,King,WA
98155,Seattle,King,WA
98158,Seattle,King,WA
98160,Seattle,King,WA
98161,Seattle,King,WA
98164,Seattle,King,WA
98165,Seattle,King,WA
98166,Seattle,King,WA
98168,Seattle,King,WA
98170,Seattle,King,WA
98171,Seattle,King,WA
98174,Seattle,King,WA
98175,Seattle,King,WA
98177,Seattle,King,WA
98178,Seattle,King,WA
98181,Seattle,King,WA
98184,Seattle,King,WA
98185,Seattle,King,WA
98188,Seattle,King,WA
98190,Seattle,King,WA
98191,Seattle,King,WA
98194,Seattle,King,WA
98195,Seattle,King,WA
98198,Seattle,King,WA
98199,Seattle,King,WA
98201,Everett,Snohomish,WA
98203,Everett,Snohomish,WA
98204,Everett,Snohomish,WA
98205,Everett,Snohomish,WA
98206,Everett,Snohomish,WA
98207,Everett,Snohomish,WA
98208,Everett,Snohomish,WA
98213,Everett,Snohomish,WA
98220,Acme,Whatcom,WA
98221,Anacortes,Skagit,WA
98222,Blakely Island,San Juan,WA
98223,Arlington,Snohomish,WA
98224,Baring,King,WA
98225,Bellingham,Whatcom,WA
98226,Bellingham,Whatcom,WA
98227,Bellingham,Whatcom,WA
98228,Bellingham,Whatcom,WA
98229,Bellingham,Whatcom,WA
98230,Blaine,Whatcom,WA
98231,Blaine,Whatcom,WA
98232,Bow,Skagit,WA
98233,Burlington,Skagit,WA
98235,Clearlake,Skagit,WA
98236,Clinton,Island,WA
98237,Concrete,Skagit,WA
98238,Conway,Skagit,WA
98239,Coupeville,Island,WA
98240,Custer,Whatcom,WA
98241,Darrington,Snohomish,WA
98243,Deer Harbor,San Juan,WA
98244,Deming,Whatcom,WA
98245,Eastsound,San Juan,WA
98247,Everson,Whatcom,WA
98248,Ferndale,Whatcom,WA
98249,Freeland,Island,WA
98250,Friday Harbor,San Juan,WA
98251,Gold Bar,Snohomish,WA
98252,Granite Falls,Snohomish,WA
98253,Greenbank,Island,WA
98255,Hamilton,Skagit,WA
98256,Index,Snohomish,WA
98257,La Conner,Skagit,WA
98258,Lake Stevens,Snohomish,WA
98259,North Lakewood,Snohomish,WA
98260,Langley,Island,WA
98261,Lopez Island,San Juan,WA
98262,Lummi Island,Whatcom,WA
98263,Lyman,Skagit,WA
98264,Lynden,Whatcom,WA
98266,Maple Falls,Whatcom,WA
98267,Marblemount,Skagit,WA
98270,Marysville,Snohomish,WA
98271,Marysville,Snohomish,WA
98272,Monroe,Snohomish,WA
98273,Mount Vernon,Skagit,WA
98274,Mount Vernon,Skagit,WA
98275,Mukilteo,Snohomish,WA
98276,Nooksack,Whatcom,WA
98277,Oak Harbor,Island,WA
98278,Oak Harbor,Island,WA
98279,Olga,San Juan,WA
98280,Orcas,San Juan,WA
98281,Point Roberts,Whatcom,WA
98282,Camano Island,Island,WA
98283,Rockport,Skagit,WA
98284,Sedro Woolley,Skagit,WA
98286,Shaw Island,San Juan,WA
98287,Silvana,Snohomish,WA
98288,Skykomish,King,WA
98290,Snohomish,Snohomish,WA
98291,Snohomish,Snohomish,WA
98292,Stanwood,Snohomish,WA
98293,Startup,Snohomish,WA
98294,Sultan,Snohomish,WA
98295,Sumas,Whatcom,WA
98296,Snohomish,Snohomish,WA
98297,Waldron,San Juan,WA
98303,Anderson Island,Pierce,WA
98304,Ashford,Pierce,WA
98305,Beaver,Clallam,WA
98310,Bremerton,Kitsap,WA
98311,Bremerton,Kitsap,WA
98312,Bremerton,Kitsap,WA
98314,Bremerton,Kitsap,WA
98315,Silverdale,Kitsap,WA
98320,Brinnon,Jefferson,WA
98321,Buckley,Pierce,WA
98322,Burley,Kitsap,WA
98323,Carbonado,Pierce,WA
98324,Carlsborg,Clallam,WA
98325,Chimacum,Jefferson,WA
98326,Clallam Bay,Clallam,WA
98327,Dupont,Pierce,WA
98328,Eatonville,Pierce,WA
98329,Gig Harbor,Pierce,WA
98330,Elbe,Pierce,WA
98331,Forks,Clallam,WA
98332,Gig Harbor,Pierce,WA
98333,Fox Island,Pierce,WA
98335,Gig Harbor,Pierce,WA
98336,Glenoma,Lewis,WA
98337,Bremerton,Kitsap,WA
98338,Graham,Pierce,WA
98339,Port Hadlock,Jefferson,WA
98340,Hansville,Kitsap,WA
98342,Indianola,Kitsap,WA
98343,Joyce,Clallam,WA
98344,Kapowsin,Pierce,WA
98345,Keyport,Kitsap,WA
98346,Kingston,Kitsap,WA
98348,La Grande,Pierce,WA
98349,Lakebay,Pierce,WA
